enterprise_nbr, naics_id_primary, naics_name_primary, naics_id_list, naics_name_list
307535,334413,Semiconductor and Related Device Manufacturing,|334119|334418|334413|,|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Semiconductor and Related Device Manufacturing|
1899158,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
16143,334611,Software Reproducing,|541512|511210|334611|,|Computer Systems Design Services|Software Publishers|Software Reproducing|
1607197,561492,Court Reporting and Stenotype Services,|561492|561410|,|Court Reporting and Stenotype Services|Document Preparation Services|
1709155,484110,"General Freight Trucking, Local",|484110|484220|,"|General Freight Trucking, Local|Specialized Freight (except Used Goods) Trucking, Local|"
1422294,448140,Family Clothing Stores,|448150|448140|315223|315222|448190|315233|,"|Clothing Accessories Stores|Family Clothing Stores|Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing|Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing|Other Clothing Stores|Women's and Girls' Cut and Sew Dress Manufacturing|"
320991,334290,Other Communications Equipment Manufacturing,|334290|334119|334418|334210|,|Other Communications Equipment Manufacturing|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Telephone Apparatus Manufacturing|
349376,515210,Cable and Other Subscription Programming,|517510|515210|515111|515112|515120|,|Cable and Other Program Distribution|Cable and Other Subscription Programming|Radio Networks|Radio Stations|Television Broadcasting|
208059,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1899497,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",|423450|325412|,"|Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers|Pharmaceutical Preparation Manufacturing|"
1899646,522310,Mortgage and Nonmortgage Loan Brokers,|522310|,|Mortgage and Nonmortgage Loan Brokers|
454146,561720,Janitorial Services,|532299|532210|532310|561720|532420|424690|532490|561790|,|All Other Consumer Goods Rental|Consumer Electronics and Appliances Rental|General Rental Centers|Janitorial Services|Office Machinery and Equipment Rental and Leasing|Other Chemical and Allied Products Merchant Wholesalers|Other Commercial and Industrial Machinery and Equipment Rental and Leasing|Other Services to Buildings and Dwellings|
339766,339111,Laboratory Apparatus and Furniture Manufacturing,|339111|325412|,|Laboratory Apparatus and Furniture Manufacturing|Pharmaceutical Preparation Manufacturing|
29775,332212,Hand and Edge Tool Manufacturing,|332999|336399|332722|332212|332510|444130|332439|332919|333923|332117|337215|,"|All Other Miscellaneous Fabricated Metal Product Manufacturing|All Other Motor Vehicle Parts Manufacturing|Bolt, Nut, Screw, Rivet, and Washer Manufacturing|Hand and Edge Tool Manufacturing|Hardware Manufacturing|Hardware Stores|Other Metal Container Manufacturing|Other Metal Valve and Pipe Fitting Manufacturing|Overhead Traveling Crane, Hoist, and Monorail System Manufacturing|Powder Metallurgy Part Manufacturing|Showcase, Partition, Shelving, and Locker Manufacturing|"
157333,445299,All Other Specialty Food Stores,|445299|446191|454113|,|All Other Specialty Food Stores|Food (Health) Supplement Stores|Mail-Order Houses|
327852,541512,Computer Systems Design Services,|541512|541519|561621|,|Computer Systems Design Services|Other Computer Related Services|Security Systems Services (except Locksmiths)|
259588,339111,Laboratory Apparatus and Furniture Manufacturing,|339111|,|Laboratory Apparatus and Furniture Manufacturing|
1896788,515120,Television Broadcasting,|515120|,|Television Broadcasting|
1897896,315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing,|315239|,|Women's and Girls' Cut and Sew Other Outerwear Manufacturing|
1898157,531210,Offices of Real Estate Agents and Brokers,|531190|531210|,|Lessors of Other Real Estate Property|Offices of Real Estate Agents and Brokers|
1899746,722211,Fast Food Restaurants,|722211|,|Fast Food Restaurants|
1899918,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1896824,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",|453998|423940|,"|All Other Miscellaneous Store Retailers (except Tobacco Stores)|Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers|"
1898466,312111,Soft Drink Manufacturing,|312111|,|Soft Drink Manufacturing|
1898997,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1895729,813319,Other Social Advocacy Organizations,|813319|,|Other Social Advocacy Organizations|
1899716,454111,Electronic Shopping,|454111|,|Electronic Shopping|
1898539,516110,Internet Publishing and Broadcasting,|516110|,|Internet Publishing and Broadcasting|
1899402,484121,"General Freight Trucking, Long-Distance, Truckload",|484121|,"|General Freight Trucking, Long-Distance, Truckload|"
1899736,561621,Security Systems Services (except Locksmiths),|541511|518210|561621|,"|Custom Computer Programming Services|Data Processing, Hosting, and Related Services|Security Systems Services (except Locksmiths)|"
1898657,813920,Professional Organizations,|813920|,|Professional Organizations|
95837,445299,All Other Specialty Food Stores,|445299|446120|446191|446110|,"|All Other Specialty Food Stores|Cosmetics, Beauty Supplies, and Perfume Stores|Food (Health) Supplement Stores|Pharmacies and Drug Stores|"
44538,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,|336411|336413|541710|541720|334511|,"|Aircraft Manufacturing|Other Aircraft Parts and Auxiliary Equipment Manufacturing|Research and Development in the Physical, Engineering, and Life Sciences|Research and Development in the Social Sciences and Humanities|Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing|"
49905,324199,All Other Petroleum and Coal Products Manufacturing,|324199|333924|331111|332214|332116|332618|332439|331221|,"|All Other Petroleum and Coal Products Manufacturing|Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing|Iron and Steel Mills|Kitchen Utensil, Pot, and Pan Manufacturing|Metal Stamping|Other Fabricated Wire Product Manufacturing|Other Metal Container Manufacturing|Rolled Steel Shape Manufacturing|"
13571,511110,Newspaper Publishers,|511110|511120|,|Newspaper Publishers|Periodical Publishers|
50024,322122,Newsprint Mills,|322122|322130|322110|,|Newsprint Mills|Paperboard Mills|Pulp Mills|
34921,212393,Other Chemical and Fertilizer Mineral Mining,|325188|325199|325998|325182|325131|211112|212393|325510|,|All Other Basic Inorganic Chemical Manufacturing|All Other Basic Organic Chemical Manufacturing|All Other Miscellaneous Chemical Product and Preparation Manufacturing|Carbon Black Manufacturing|Inorganic Dye and Pigment Manufacturing|Natural Gas Liquid Extraction|Other Chemical and Fertilizer Mineral Mining|Paint and Coating Manufacturing|
11268,325120,Industrial Gas Manufacturing,|325120|,|Industrial Gas Manufacturing|
35080,452990,All Other General Merchandise Stores,|452990|,|All Other General Merchandise Stores|
13196,332913,Plumbing Fixture Fitting and Trim Manufacturing,|332998|332919|332913|,|Enameled Iron and Metal Sanitary Ware Manufacturing|Other Metal Valve and Pipe Fitting Manufacturing|Plumbing Fixture Fitting and Trim Manufacturing|
22250,333314,Optical Instrument and Lens Manufacturing,|333314|,|Optical Instrument and Lens Manufacturing|
26219,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,|334310|444110|334419|334418|334220|,|Audio and Video Equipment Manufacturing|Home Centers|Other Electronic Component Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|
45337,333995,Fluid Power Cylinder and Actuator Manufacturing,|333298|922160|333995|333996|333913|333319|333220|332410|333911|333295|,|All Other Industrial Machinery Manufacturing|Fire Protection|Fluid Power Cylinder and Actuator Manufacturing|Fluid Power Pump and Motor Manufacturing|Measuring and Dispensing Pump Manufacturing|Other Commercial and Service Industry Machinery Manufacturing|Plastics and Rubber Industry Machinery Manufacturing|Power Boiler and Heat Exchanger Manufacturing|Pump and Pumping Equipment Manufacturing|Semiconductor Machinery Manufacturing|
